"slug","product","productType","missingField","publicTreatment","action"
"ctz-type-midfield-strong-semi-magnetic-drum","CTZ type midfield strong semi magnetic drum","Wet magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctz-type-midfield-strong-semi-magnetic-drum","CTZ type midfield strong semi magnetic drum","Wet magnetic separator","Slurry density","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctz-type-midfield-strong-semi-magnetic-drum","CTZ type midfield strong semi magnetic drum","Wet magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctz-type-midfield-strong-semi-magnetic-drum","CTZ type midfield strong semi magnetic drum","Wet magnetic separator","Drum speed","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctz-type-midfield-strong-semi-magnetic-drum","CTZ type midfield strong semi magnetic drum","Wet magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"ctz-type-midfield-strong-semi-magnetic-drum","CTZ type midfield strong semi magnetic drum","Wet magnetic separator","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcda-type-air-cooled-electromagnetic-iron-remover","RCDA type air-cooled electromagnetic iron remover","Electromagnetic suspended separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcda-type-air-cooled-electromagnetic-iron-remover","RCDA type air-cooled electromagnetic iron remover","Electromagnetic suspended separator","Input power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcda-type-air-cooled-electromagnetic-iron-remover","RCDA type air-cooled electromagnetic iron remover","Electromagnetic suspended separator","Cooling configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcda-type-air-cooled-electromagnetic-iron-remover","RCDA type air-cooled electromagnetic iron remover","Electromagnetic suspended separator","Duty cycle","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcda-type-air-cooled-electromagnetic-iron-remover","RCDA type air-cooled electromagnetic iron remover","Electromagnetic suspended separator","Insulation and protection","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcda-type-air-cooled-electromagnetic-iron-remover","RCDA type air-cooled electromagnetic iron remover","Electromagnetic suspended separator","Recommended suspension height","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcda-type-air-cooled-electromagnetic-iron-remover","RCDA type air-cooled electromagnetic iron remover","Electromagnetic suspended separator","Control arrangement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcda-type-air-cooled-electromagnetic-iron-remover","RCDA type air-cooled electromagnetic iron remover","Electromagnetic suspended separator","Overall dimensions","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcda-type-air-cooled-electromagnetic-iron-remover","RCDA type air-cooled electromagnetic iron remover","Electromagnetic suspended separator","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","RCDC type air-cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","RCDC type air-cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Input power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","RCDC type air-cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Cooling configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","RCDC type air-cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Duty cycle","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","RCDC type air-cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Insulation and protection","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","RCDC type air-cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Discharge belt drive","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","RCDC type air-cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Belt speed","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","RCDC type air-cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Control and protection","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","RCDC type air-cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Recommended suspension height","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","RCDC type air-cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Overall dimensions","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","RCDC type air-cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcde-type-oil-cooled-electromagnetic-iron-remover","RCDE type oil cooled electromagnetic iron remover","Electromagnetic suspended separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcde-type-oil-cooled-electromagnetic-iron-remover","RCDE type oil cooled electromagnetic iron remover","Electromagnetic suspended separator","Input power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcde-type-oil-cooled-electromagnetic-iron-remover","RCDE type oil cooled electromagnetic iron remover","Electromagnetic suspended separator","Cooling configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcde-type-oil-cooled-electromagnetic-iron-remover","RCDE type oil cooled electromagnetic iron remover","Electromagnetic suspended separator","Duty cycle","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcde-type-oil-cooled-electromagnetic-iron-remover","RCDE type oil cooled electromagnetic iron remover","Electromagnetic suspended separator","Insulation and protection","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcde-type-oil-cooled-electromagnetic-iron-remover","RCDE type oil cooled electromagnetic iron remover","Electromagnetic suspended separator","Recommended suspension height","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcde-type-oil-cooled-electromagnetic-iron-remover","RCDE type oil cooled electromagnetic iron remover","Electromagnetic suspended separator","Control arrangement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcde-type-oil-cooled-electromagnetic-iron-remover","RCDE type oil cooled electromagnetic iron remover","Electromagnetic suspended separator","Overall dimensions","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcde-type-oil-cooled-electromagnetic-iron-remover","RCDE type oil cooled electromagnetic iron remover","Electromagnetic suspended separator","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","RCDF oil cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","RCDF oil cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Input power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","RCDF oil cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Cooling configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","RCDF oil cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Duty cycle","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","RCDF oil cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Insulation and protection","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","RCDF oil cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Discharge belt drive","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","RCDF oil cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Belt speed","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","RCDF oil cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Control and protection","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","RCDF oil cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Recommended suspension height","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","RCDF oil cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Overall dimensions","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","RCDF oil cooled self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","RCDFJ type forced oil circulation self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","RCDFJ type forced oil circulation self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Input power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","RCDFJ type forced oil circulation self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Cooling configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","RCDFJ type forced oil circulation self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Duty cycle","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","RCDFJ type forced oil circulation self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Insulation and protection","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","RCDFJ type forced oil circulation self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Discharge belt drive","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","RCDFJ type forced oil circulation self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Belt speed","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","RCDFJ type forced oil circulation self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Control and protection","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","RCDFJ type forced oil circulation self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Recommended suspension height","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","RCDFJ type forced oil circulation self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Overall dimensions","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","RCDFJ type forced oil circulation self dumping electromagnetic iron remover","Self-cleaning electromagnetic iron remover","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcps-self-dumping-disc-type-permanent-magnet-iron-remover","RCPS self dumping disc type permanent magnet iron remover","Permanent self-cleaning iron remover","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcps-self-dumping-disc-type-permanent-magnet-iron-remover","RCPS self dumping disc type permanent magnet iron remover","Permanent self-cleaning iron remover","Suitable belt width","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcps-self-dumping-disc-type-permanent-magnet-iron-remover","RCPS self dumping disc type permanent magnet iron remover","Permanent self-cleaning iron remover","Recommended suspension height","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcps-self-dumping-disc-type-permanent-magnet-iron-remover","RCPS self dumping disc type permanent magnet iron remover","Permanent self-cleaning iron remover","Material burden depth","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcps-self-dumping-disc-type-permanent-magnet-iron-remover","RCPS self dumping disc type permanent magnet iron remover","Permanent self-cleaning iron remover","Magnetic circuit","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcps-self-dumping-disc-type-permanent-magnet-iron-remover","RCPS self dumping disc type permanent magnet iron remover","Permanent self-cleaning iron remover","Discharge belt arrangement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcps-self-dumping-disc-type-permanent-magnet-iron-remover","RCPS self dumping disc type permanent magnet iron remover","Permanent self-cleaning iron remover","Drive configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcps-self-dumping-disc-type-permanent-magnet-iron-remover","RCPS self dumping disc type permanent magnet iron remover","Permanent self-cleaning iron remover","Belt speed","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcps-self-dumping-disc-type-permanent-magnet-iron-remover","RCPS self dumping disc type permanent magnet iron remover","Permanent self-cleaning iron remover","Iron discharge direction","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcps-self-dumping-disc-type-permanent-magnet-iron-remover","RCPS self dumping disc type permanent magnet iron remover","Permanent self-cleaning iron remover","Overall dimensions","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcps-self-dumping-disc-type-permanent-magnet-iron-remover","RCPS self dumping disc type permanent magnet iron remover","Permanent self-cleaning iron remover","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rct-type-fully-magnetic-drum","RCT type fully magnetic drum","Wet magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rct-type-fully-magnetic-drum","RCT type fully magnetic drum","Wet magnetic separator","Drum diameter × length","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rct-type-fully-magnetic-drum","RCT type fully magnetic drum","Wet magnetic separator","Tank type","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rct-type-fully-magnetic-drum","RCT type fully magnetic drum","Wet magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rct-type-fully-magnetic-drum","RCT type fully magnetic drum","Wet magnetic separator","Slurry density","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rct-type-fully-magnetic-drum","RCT type fully magnetic drum","Wet magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rct-type-fully-magnetic-drum","RCT type fully magnetic drum","Wet magnetic separator","Drum speed","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rct-type-fully-magnetic-drum","RCT type fully magnetic drum","Wet magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rct-type-fully-magnetic-drum","RCT type fully magnetic drum","Wet magnetic separator","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcya-type-inclined-pipeline-permanent-magnet-iron-remover","RCYA type inclined pipeline permanent magnet iron remover","Magnetic filter or separator component","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcya-type-inclined-pipeline-permanent-magnet-iron-remover","RCYA type inclined pipeline permanent magnet iron remover","Magnetic filter or separator component","Opening or pipe connection","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcya-type-inclined-pipeline-permanent-magnet-iron-remover","RCYA type inclined pipeline permanent magnet iron remover","Magnetic filter or separator component","Magnetic element arrangement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcya-type-inclined-pipeline-permanent-magnet-iron-remover","RCYA type inclined pipeline permanent magnet iron remover","Magnetic filter or separator component","Material of construction","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcya-type-inclined-pipeline-permanent-magnet-iron-remover","RCYA type inclined pipeline permanent magnet iron remover","Magnetic filter or separator component","Flow or pressure condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcya-type-inclined-pipeline-permanent-magnet-iron-remover","RCYA type inclined pipeline permanent magnet iron remover","Magnetic filter or separator component","Temperature condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcya-type-inclined-pipeline-permanent-magnet-iron-remover","RCYA type inclined pipeline permanent magnet iron remover","Magnetic filter or separator component","Cleaning method","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcya-type-inclined-pipeline-permanent-magnet-iron-remover","RCYA type inclined pipeline permanent magnet iron remover","Magnetic filter or separator component","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcydii-type-permanent-magnet-self-dumping-iron-remover","RCYDII type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcydii-type-permanent-magnet-self-dumping-iron-remover","RCYDII type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Suitable belt width","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcydii-type-permanent-magnet-self-dumping-iron-remover","RCYDII type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Recommended suspension height","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcydii-type-permanent-magnet-self-dumping-iron-remover","RCYDII type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Material burden depth","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcydii-type-permanent-magnet-self-dumping-iron-remover","RCYDII type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Magnetic circuit","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcydii-type-permanent-magnet-self-dumping-iron-remover","RCYDII type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Discharge belt arrangement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcydii-type-permanent-magnet-self-dumping-iron-remover","RCYDII type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Drive configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcydii-type-permanent-magnet-self-dumping-iron-remover","RCYDII type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Belt speed","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcydii-type-permanent-magnet-self-dumping-iron-remover","RCYDII type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Iron discharge direction","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcydii-type-permanent-magnet-self-dumping-iron-remover","RCYDII type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Overall dimensions","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcydii-type-permanent-magnet-self-dumping-iron-remover","RCYDII type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcye-type-permanent-magnet-self-dumping-iron-remover","RCYE type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcye-type-permanent-magnet-self-dumping-iron-remover","RCYE type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Suitable belt width","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcye-type-permanent-magnet-self-dumping-iron-remover","RCYE type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Recommended suspension height","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcye-type-permanent-magnet-self-dumping-iron-remover","RCYE type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Material burden depth","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcye-type-permanent-magnet-self-dumping-iron-remover","RCYE type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Magnetic circuit","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcye-type-permanent-magnet-self-dumping-iron-remover","RCYE type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Discharge belt arrangement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcye-type-permanent-magnet-self-dumping-iron-remover","RCYE type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Drive configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcye-type-permanent-magnet-self-dumping-iron-remover","RCYE type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Belt speed","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcye-type-permanent-magnet-self-dumping-iron-remover","RCYE type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Iron discharge direction","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcye-type-permanent-magnet-self-dumping-iron-remover","RCYE type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Overall dimensions","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcye-type-permanent-magnet-self-dumping-iron-remover","RCYE type permanent magnet self dumping iron remover","Permanent self-cleaning iron remover","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyf-type-vertical-pipeline-permanent-magnet-iron-remover","RCYF type vertical pipeline permanent magnet iron remover","Magnetic filter or separator component","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyf-type-vertical-pipeline-permanent-magnet-iron-remover","RCYF type vertical pipeline permanent magnet iron remover","Magnetic filter or separator component","Opening or pipe connection","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyf-type-vertical-pipeline-permanent-magnet-iron-remover","RCYF type vertical pipeline permanent magnet iron remover","Magnetic filter or separator component","Magnetic element arrangement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyf-type-vertical-pipeline-permanent-magnet-iron-remover","RCYF type vertical pipeline permanent magnet iron remover","Magnetic filter or separator component","Material of construction","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyf-type-vertical-pipeline-permanent-magnet-iron-remover","RCYF type vertical pipeline permanent magnet iron remover","Magnetic filter or separator component","Flow or pressure condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyf-type-vertical-pipeline-permanent-magnet-iron-remover","RCYF type vertical pipeline permanent magnet iron remover","Magnetic filter or separator component","Temperature condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyf-type-vertical-pipeline-permanent-magnet-iron-remover","RCYF type vertical pipeline permanent magnet iron remover","Magnetic filter or separator component","Cleaning method","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyf-type-vertical-pipeline-permanent-magnet-iron-remover","RCYF type vertical pipeline permanent magnet iron remover","Magnetic filter or separator component","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover","RCYG type pipeline self dumping permanent magnet iron remover","Magnetic filter or separator component","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover","RCYG type pipeline self dumping permanent magnet iron remover","Magnetic filter or separator component","Opening or pipe connection","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover","RCYG type pipeline self dumping permanent magnet iron remover","Magnetic filter or separator component","Magnetic element arrangement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover","RCYG type pipeline self dumping permanent magnet iron remover","Magnetic filter or separator component","Material of construction","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover","RCYG type pipeline self dumping permanent magnet iron remover","Magnetic filter or separator component","Flow or pressure condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover","RCYG type pipeline self dumping permanent magnet iron remover","Magnetic filter or separator component","Temperature condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover","RCYG type pipeline self dumping permanent magnet iron remover","Magnetic filter or separator component","Cleaning method","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
